model,title,price,rating,reviews
chair,PU Leather Home Office Chair Swivel Executive PC Computer Desk Table Adjustable,"1,501,068.79 VND",4.5 out of 5 stars.,4 product ratings
chair,Folding Camping Chair Lightweight Portable Outdoor Chair For Fishing Garden Hike,"750,384.24 VND",,
chair,Office Chair Cover Split Armchair Cover Stretch Computer Chair Slipcover Decor,"68,519.48 VND,119,280.48 VND",,
chair,Sun Lounger Folding Recliner Chair Portable Reclining Garden Outdoor Seat Bed,"1,049,456.98 VND",4.0 out of 5 stars.,22 product ratings
chair,BLACK WHITE FOLDING CHAIR ROUND FOLDABLE METAL CHAIRS SPACE SAVING PADDED NEW,"540,192.60 VND",,
chair,Square Rubber Chair Ferrules AntiScratch Floor Protector Table Feet Leg Cap End,"34,831.76 VND,3,744,714.67 VND",,
chair,Atlas The Best Headrest for the Herman Miller Aeron Chair - Graphite Remastered,"4,523,571.43 VND",,
chair,Recliner Chair Cover Slipcover Reversible Protector Anti-Slip Sofa Soft ,"185,476.19 VND,605,952.38 VND",,
chair,Bean Bag Chair Gamer Beanbag Adult Outdoor Gaming Waterproof Garden Big Large,"689,128.38 VND,1,259,648.64 VND",,
chair,Porch Swing Hammock Bench Lounge Chair Steel 3-seat Padded Outdoor w/ Canopy,"856,904.76 VND",,
chair,Luxury Replacement Cushion  2 3 4 Seater Garden Swing Bench Chair Seat+Backrest ,"659,101.00 VND,2,852,300.90 VND",,
chair,3PCS Outdoor Wicker Rocking Chair Set Rattan Patio Furniture Table with Cushions,"642,619.05 VND",,
chair,Home Office Chair Computer Mesh Desk Chair with Adjustable Arms and Height Black,"1,410,986.64 VND",,
chair,Folding Stool Portable Telescopic Chair Seat Camping Retractable Outdoor Fishing,"378,333.33 VND",,
chair,Foldable Camping Chair Beach Garden Picnic Comfortable Rest Seat Black,"480,137.83 VND",4.0 out of 5 stars.,115 product ratings
chair,Zero Gravity Chair Reclining Garden Patio Sun Lounger Folding With Tray (Stone),"1,125,726.52 VND",,
chair,Smooth Elastic Stretch Tub Chair Cover Armchair Single Seat Sofa Full Slipcover,"355,824.48 VND,359,127.48 VND",,
chair,Wooden Deck Folding Chair Lounger Sunbed Garden Seaside Beach Chair Seat,"566,016.14 VND,1,106,509.00 VND",,
chair,Office Chair Cover Universal Stretch Desk Chair Cover Size: L - Black,"333,095.24 VND",3.5 out of 5 stars.,6 product ratings
chair,1 x Textoline Reclining Chair Zero Gravity Garden Sun Lounger Deluxe Chairs,"1,020,630.69 VND,1,110,712.83 VND",,
chair,Single Double Inflatable Chair Sofa Blow Up Seat Gaming Lounger Outdoor Camping,"351,020.10 VND,555,206.29 VND",,
chair,New Hi-Gear Haddon Directors Chair,"839,265.31 VND",5.0 out of 5 stars.,39 product ratings
