model,title,price,rating,reviews
ipad,"Acceptable Apple iPad Pro 9.7"" 32GB 128GB 256GB All Colors WiFi or Unlocked","2,847,380.95 VND,4,704,523.81 VND",,
ipad,"NEW Apple iPad 8th Gen (MYLF2LL/A) 128GB, Wi-Fi, 10.2""  MODEL A2270 - Gold","7,595,000.00 VND",5.0 out of 5 stars.,37 product ratings
ipad,Apple iPad Air 2 A1567 (WiFi + Cellular Unlocked) 64GB Space Gray (Very Good),"3,214,285.71 VND",,
ipad,"Apple iPad 4 Wi Fi 32GB A1456 Black 9.7""","840,766.67 VND",,
ipad,"Apple iPad Pro 3rd Gen A1876,64GB, Wi-Fi, 12.9"",Space Gray :IM246","6,404,761.90 VND",4.5 out of 5 stars.,59 product ratings
ipad,Apple iPad 9th Gen 10.2 in 64GB Space Gray Wi-Fi + Cell 5G w/ Apple Warranty,"4,773,809.52 VND",5.0 out of 5 stars.,10 product ratings
ipad,Apple iPad 9 - 64GB - Gray (Wifi) (Read Description) CG1090,"416,666.67 VND",5.0 out of 5 stars.,128 product ratings
ipad,Apple iPad 6 (6th Gen) - (2018 Model) - 32GB & 128GB - Wi-Fi ONLY (VERY GOOD),"3,309,523.81 VND",,
ipad,,"3,690,476.19 VND",,
ipad,Apple iPad 7th Gen WiFi 10.2in - 32GB 128GB - Gray Silver Gold - Bundle,"3,567,857.14 VND,4,282,142.86 VND",,
ipad,"Apple iPad mini 4 16GB, Wi-Fi + Cellular (Unlocked), 7.9in - Space Gray","2,380,714.29 VND",4.5 out of 5 stars.,47 product ratings
ipad,"Apple iPad 6th Gen A1893, 32GB, Wi-Fi, 9.7"",Space Gray,Back light : IX057","1,785,714.29 VND",4.5 out of 5 stars.,29 product ratings
ipad,Apple iPad 2nd 3rd 4th Generation 16GB 32GB 64GB  with Otter Case Bundle,"952,142.86 VND,1,666,428.57 VND",,
ipad,"Apple iPad Pro 12.9"" (3rd Gen) A2014 (WiFi + Cellular) 256GB Space Gray (Good)","13,095,238.10 VND",4.5 out of 5 stars.,69 product ratings
ipad,"Apple iPad 10.2-inch 9th Gen. 256GB, Wi-Fi, Space Gray","9,023,809.52 VND",5.0 out of 5 stars.,59 product ratings
ipad,Apple iPad 6th Generation A1954 A1893 32/128GB WiFi/Unlocked Tablet Great,"3,214,047.62 VND",,
ipad,"Apple iPad 8th Gen. 32GB, Wi-Fi 10.2 in - Space Gray with Axtion Bold MP","4,500,000.00 VND",,
ipad,"Apple iPad Pro 1st Gen. 256GB, Wi-Fi + 4G (Unlocked), 10.5 in - Space Gray","5,475,952.38 VND",4.5 out of 5 stars.,81 product ratings
ipad,"Apple iPad Air 2 128GB, Wi-Fi, 9.7in - Space Gray  ***Grade B***","3,333,095.24 VND",4.5 out of 5 stars.,14 product ratings
ipad,Apple iPad Pro 11-inch 256GB WiFi Cellular Cracked Screen - Fully Functional!!,"4,654,761.90 VND",,
ipad,"Apple iPad 9th Gen, Wi-Fi, 10.2in - 64GB 256GB - Gray Silver - Bundle","6,186,904.76 VND",,
ipad,Apple - 11-Inch iPad Pro (Latest Model) with Wi-Fi - 128GB - Silver,"19,023,809.52 VND",,
ipad,"Apple iPad 8th Gen. 32GB, Wi-Fi, 10.2 in - Space Gray - Bundle - Daily Deal","5,234,523.81 VND",5.0 out of 5 stars.,169 product ratings
ipad,Apple iPad 5th Gen 32GB Wi-Fi Space Gray - A1822 - Apple ID LOCKED,"273,809.52 VND",4.5 out of 5 stars.,83 product ratings
ipad,"Apple iPad 10th/9th Gen (2022-2021) 10.2""-All Sizes & Colours-New-Apple Warranty","9,908,735.45 VND,12,010,652.12 VND",,
ipad,Apple iPad Air 2nd Gen 16gb Silver A1567 (Unlocked),"1,427,380.95 VND",4.5 out of 5 stars.,59 product ratings
ipad,"Apple iPad 6th Gen. 32GB, Wi-Fi + Cellular (Unlocked), 9.7in - Space Gray - Fair","3,092,857.14 VND",4.5 out of 5 stars.,29 product ratings
ipad,Apple iPad 8th Gen WiFi 10.2in - 32GB 128GB - Gray Silver Gold - Bundle,"4,758,333.33 VND,6,186,904.76 VND",,
ipad,"Apple iPad Pro 5th Gen 1TB, Wi-Fi, 12.9 in - Space Gray","12,904,761.90 VND",5.0 out of 5 stars.,11 product ratings
ipad,Apple iPad 9 - 256GB - Gray (Unlocked) (Read Description) CG1004,"1,571,428.57 VND",5.0 out of 5 stars.,4 product ratings
ipad,Apple iPad Pro 4th Gen 12.9 in 1TB / 1024GB Wi-Fi + Cell 5G - Space Gray,"9,500,000.00 VND",,
ipad,"*BRAND NEW SEALED *  Apple iPad 2 32GB, Wi-Fi, 9.7in A1395 Rare Collectors","2,972,710.71 VND",,
ipad,Apple iPad 6th Gen (A1893) 32GB WiFi - GRADE A,"2,618,809.52 VND",5.0 out of 5 stars.,81 product ratings
ipad,Apple iPad 8th Gen 32GB Wi-Fi + 4G Unlocked 10.2 in Grey Smashed Screen 995,"3,903,259.26 VND",5.0 out of 5 stars.,9 product ratings
ipad,"Apple iPad Pro 1st Gen. A1674 128GB, Wi-Fi + 4G (Verizon), 9.7 in - Space Gray","23,571.43 VND",4.5 out of 5 stars.,3 product ratings
ipad,"Apple iPad Pro 1st 10.5"" 256GB - A1709 - Space Gray Wi-Fi + Cellular 4G Unlocked","5,475,952.38 VND",4.5 out of 5 stars.,81 product ratings
ipad,NEAR MINT -Apple iPad Pro 12.9 (2nd Gen) 256GB Wi-Fi- ACCESSORY BUNDLE!!!,"9,020,714.29 VND",,
ipad,"Apple iPad 7th Gen. 32GB, Wi-Fi, 10.2 in - Space Gray","4,166,428.57 VND",5.0 out of 5 stars.,373 product ratings
ipad,Apple iPad (9th Gen),"3,053,571.43 VND",5.0 out of 5 stars.,25 product ratings
ipad,Shop on eBay,$20.00,,
ipad,Apple iPad (9th Gen),"3,053,571.43 VND",5.0 out of 5 stars.,25 product ratings
ipad,"Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7"" Tablet, iOS 15 - Space Gray ","2,856,904.76 VND",4.5 out of 5 stars.,83 product ratings
ipad,,"9,500,000.00 VND,12,119,047.62 VND",,
ipad,"Apple iPad 5th,6th,7th,8th,9th Generation 16GB,32GB,64GB,128GB,256GB Wi-Fi +4G","3,903,259.26 VND,8,407,366.40 VND",,
ipad,Apple iPad 8th Gen 32GB Wi-Fi + 4G Unlocked 10.2 in Grey Smashed Screen 995,"3,903,259.26 VND",5.0 out of 5 stars.,9 product ratings
