model,title,price,rating,reviews
pencil,Eye Brow Tint Hard Eyebrow Pencil Permanent Tattoo Pen Microblading Marker Pen,"55,161.33 VND",,
pencil,"LAVOSSY™ Beard Filler Pen - with blending brush, Beard Pencil for men","239,918.79 VND,600,247.33 VND",,
pencil,Stylus Pencil with Magnetic Wireless Charging for Apple iPad Pro/Mini 6/Air 4 5,"500,000.00 VND",,
pencil,Eyebrow PENCIL & BRUSH - Fine Brow Definition Shaper - Waterproof 2 for 1,"89,781.88 VND",,
pencil,Automatic Eyebrow Pencil VIVIENNE SABO BROW ARCADE - 7 Shades,"321,190.48 VND",,
pencil,ONE NEW Eyeliner Pencil Lasting Drama 36H Liquid Eyes Pen Eye Liner Pencil,"15,715.48 VND",,
pencil,TikTok  style Eyebrow pencil Tattoo Fork PENCIL BRUSH-Fine Brow pen makeup,"89,781.88 VND",,
pencil,Avon True Colour Glimmerstick Brow Definer Pencil Natural Look Six Shades NEW,"178,662.93 VND",,
pencil,PHOERA ULTRA SLIM EYE BROW LINER PENCIL SPOOLIE BRUSH RETRACTABLE EYEBROW MAKEUP,"103,594.48 VND,125,814.74 VND",,
pencil,"Pencil for Apple iPad, Universal Stylus for Mobile/tablet Android & Window","179,864.02 VND",,
pencil,Double-head Cream Eye Shadow Pen Eyeshadow Pencil Shimmer Eyeshadow Stick,"68,762.71 VND,98,790.10 VND",,
pencil,Maybelline Express Brow Satin Duo 2IN1 Eyebrow Pencil & Powder - Dark Blonde ,"146,833.90 VND",,
pencil,,"1,833,095.24 VND",5.0 out of 5 stars.,952 product ratings
pencil,Waterproof Eyebrow Pencil Liner Eye Brow Powder Pen Makeup Beauty Cosmetic Tool,"21,539.76 VND",,
pencil,Genuine Apple Pencil 1st Generation for iPad Pro MK0C2ZM/A 🔥BRAND NEW SEALED🔥,"2,340,634.36 VND",5.0 out of 5 stars.,653 product ratings
pencil,Maybelline Express Brow Ultra Slim Eyebrow Pencil Xpress Shade - Soft Brown NEW,"146,833.90 VND",,
pencil,Waterproof Eyebrow Pencil Eye Brow Eyeliner Pen Brow Tint Makeup Long-Lasting ,"42,380.95 VND",,
pencil,Apple Pencil Tips - 4 PIECE - NEW,"233,322.62 VND",,
pencil,Microblading Tattoo Eyebrow 3D liquid Ink Pen waterproof 4 fork pencil brow 🔥✅,"65,759.95 VND,71,765.45 VND",,
pencil,Bluetooth Wireless Charging Stylus Pencil For Apple iPad Pro/Air 4 5/Mini 6,"428,571.43 VND",,
pencil,Eyebrow Pencil Waterproof Eye Brow Eyeliner Pen With Brush Makeup Cosmetic To ❤,"18,544.26 VND,35,831.29 VND",,
pencil,SOAP & GLORY Archery Brow Pencil & Tint 0.2g - CHOOSE SHADE - NEW Boxed,"299,973.55 VND",,
pencil,Microblading Tattoo Eyebrow 3D liquid Ink Pen waterproof 4 fork pencil brow UK,"89,781.88 VND",,
pencil,Rimmel Brow This Way Fill & Sculpt Eyebrow Definer *Choose Your Shade*,"146,533.62 VND,149,536.36 VND",,
pencil,80'S BENSIA SCENTED POP A POINT PENCILS FRUIT PENCIL  New,"190,476.19 VND",,
pencil,Microblading Tattoo Eyebrow Ink Pen Long Lasting Eye Brow Pencil 3D Fork Makeup,"23,571.43 VND,56,666.67 VND",,
pencil,TikTok Same style Eyebrow pencil Tattoo Fork PENCIL BRUSH-Fine Brow Sharpe,"89,781.88 VND",,
pencil,Colorful Liquid Eyeliner Pencil Eye Liner Gel Pen Long Lasting Waterpoof Makeup/,"23,571.43 VND",,
pencil,TicTok Eyebrow PENCIL & BRUSH - Fine Brow Definition Shaper - Waterproof Liner 5,"71,164.90 VND",,
pencil,4-Tip Fork Microblading Eyebrow Pencil Tattoo Pen Long-Lasting Waterproof K7R2,"35,831.29 VND,35,988.45 VND",,
pencil,2PCS Eyeliner Tattoo Pen Water Liquid Waterproof 0.01MM Eyebrow Pencil Cosmetic,"104,495.29 VND",,
pencil,"1 NYX Slim Lip Pencil / Lip Liner - SPL ""Pick Your 1 Color"" *Joy's cosmetics* ","60,714.29 VND,213,095.24 VND",,
pencil,Pencil Cap Replacement Magnetic Protective Case Cap For Pencil Ipad Hot,"38,571.43 VND,54,523.81 VND",,
pencil,Stylus Pen Bluetooth Pencil For Apple iPad 9/8th/Mini/Air 4/5th/Pro 11&12.9'',"404,523.81 VND",,
pencil,Waterproof Eye Brow Black Brown Eyebrow Pen Pencil With Brush Makeup Cosmetic,"26,666.67 VND",,
pencil,IT Cosmetics Brow Power Universal Taupe Eyebrow Pencil Eye Makeup ,"299,973.55 VND",,
pencil,Retractable Waterproof Eyeliner Pencil Pen Eye Liner  20 SHADES for Choose ♮,"31,745.26 VND,48,717.98 VND",,
pencil,"Benefit PRECISELY, MY BROW PENCIL Fine Line Eyebrow Defining Liner MEDIUM 3","480,137.83 VND",5.0 out of 5 stars.,5 product ratings
pencil,Shu Uemura Eyebrow Eyeliner Pencil Hard Formula 9 Full size,"547,380.95 VND",,
pencil,1PCS Double-end Waterproof Eyeliner Eyebrow Pencil Pen Brush Makeup Tools -,"23,571.43 VND",,
pencil,Eyebrow Pencil & Brush Fine Brow Definition Shaper Double Head Waterproof Liner ,"89,781.88 VND",,
pencil,Rimmel Soft Kohl Kajal Professional Eyeliner Pencil **Choose Your Shade**,"81,073.93 VND",,
pencil,PMU Microblading Marker Pen Eye Brow Tint Eyebrow Pencil Permanent Tattoo Pen,"92,407.00 VND",,
pencil,"Refy Brow Sculpt 8.5ml, Clear","390,055.69 VND",,
pencil,Microblading Tattoo Eyebrow 3D liquid Ink Pen waterproof 4 fork pencil brow UK,"29,727.12 VND,113,503.50 VND",,
pencil,Rimmel Exaggerate Waterproof Eyeliner Eye Definer Pencil **CHOOSE YOUR SHADE**,"88,580.79 VND",,
pencil,Microblading Tattoo Eyebrow Pen Pencil Brush waterproof Makeup pencil brow Tools,"91,283.24 VND",,
pencil,3D Microblading Tattoo Eyebrow Ink Pen Long Lasting Waterproof Fork Pencil Brow,"70,238.10 VND",,
pencil,Shop on eBay,$20.00,,
pencil,PENCIL SHARPENER METAL DOUBLE TWIN HOLE HEAVY DUTY 8mm 10mm,"49,545.17 VND,5,975,448.81 VND",,
pencil,"Office Everlasting Pencil,Eternal Inkless Unlimited Writing,Painting Sketch Pen","29,727.12 VND,58,253.12 VND",,
pencil,Eyebrow Pencil Microblading SPMU Outlining Marking Pen Brow Liner Peel- Off UK,"71,164.90 VND",,
pencil,Eyebrow Pencil Microblading SPMU Outlining Marking Pen Brow Liner Peel- Off UK,"90,082.14 VND",,
pencil,Pencil Stylus For iPad iPhone Samsung Galaxy Tablet Phone Pen Capacitive Screen,"320,000.00 VND",,
pencil,Beauty Waterproof Eyeliner Liquid Eye Liner Pen Pencil Makeup Cosmetic New,"47,380.95 VND,54,523.81 VND",,
pencil,Apple Pencil 2nd Generation - MUBF2ZM/A. BRAND NEW SEALED,"2,777,532.74 VND",5.0 out of 5 stars.,291 product ratings
pencil,12 Colors Lip Liner Pencil Set Pretty Matte Long Lasting Smooth Waterproof Women,"119,809.26 VND",,
pencil,Women Eyeliner Long-Lasting Brow Beauty Waterproof Pen Eyebrow Pencil Tint,"64,258.60 VND,64,558.86 VND",,
pencil,Waterproof Eye Brow Eyeliner Eyebrow Pen Pencil Brush Double Head Makeup Tools,"30,335.17 VND",,
pencil,Eyebrow Tattoo PENCIL & BRUSH-Stereo Fine Brow Sharpe - Waterproof Liner UK,"29,727.12 VND,80,773.67 VND",,
pencil,Lilyz Twist Up Waterproof Eyeliner Pencil Retractable Soft Kohl,"88,580.79 VND",,
pencil,For Tablet iPad Phone Samsung PC Capacitive Pen Touch Screen Stylus Smart Pencil,"101,792.83 VND",,
pencil,(8 PACK) Tips For Apple Pencil Compatible with 1st Gen 2nd Gen Pencil iPad Pro,"165,000.00 VND",,
pencil,Eyebrow Pencil Eye Brow Eyeliner Pen Makeup Waterproof Long-Lasting Tattoo Tint,"43,333.33 VND,43,571.43 VND",,
pencil,Colorful Liquid Eyeliner Pencil Eye Liner Gel Pens Long Lasting Waterpoof  ^,"42,142.86 VND",,
pencil, Rimmel Brow Pencil Brow Pro Micro Ultra Fine - Soft Brown 002 NEW with Brush,"146,833.90 VND",,
pencil,15 Colors Shimmer Eyeshadow Stick Pen Lasting Waterproof Makeup Pencil NEW,"23,571.43 VND",,
pencil,Shu Uemura Eyebrow Eyeliner Pencil Hard Formula 9 Full size,"547,380.95 VND",,
pencil,"1 NYX Fill & Fluff Eyebrow Pomade Pencil ""Pick Your 1 Color"" * Joy's cosmetics *","213,809.52 VND,261,428.57 VND",4.5 out of 5 stars.,4 product ratings
pencil,Waterproof Eyebrow Tattoo Fork Pencil & Brush - Fine Brow Shape with 5 Colors,"89,781.88 VND",,
pencil,Stylus Pen for Touch Screens Digital Pencil Fine Point For iPhone iPad Tablet H9,"50,238.10 VND,88,809.52 VND",,
pencil,Liquid Eyeliner Beauty Waterproof Eye Liner Pen Pencil Makeup Cosmetic 12colors,"46,989.29 VND",,
pencil,AVON TRUE COLOUR GLIMMERSTICK DIAMONDS EYELINER shimmer twist pencil eye liner,"90,082.14 VND,195,177.98 VND",,
pencil,Waterproof Eyebrow Black Dark Brown Light Brown Pencil with Spoolie Makeup UK❤️,"89,781.88 VND",,
pencil,"1 NYX Jumbo Eye Pencil Eyeshadow  ""Pick Your 1 Color"" *Joy's cosmetics*","107,142.86 VND,285,476.19 VND",,
